material_id,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-1982,1.9425284427779266,7,0.1724137931034483,0.029556650246305605,"{""C:12"": 10, ""DI:11"": 8, ""PBP:12"": 8, ""MI:10"": 8, ""UNKNOWN:14"": 8, ""BS_2:10"": 8, ""SBSA:10"": 8}",58
mp-28435,0.8675632284814612,3,0.6666666666666666,0.3333333333333335,"{""TT_1:9"": 4, ""T:4"": 4, ""S:1"": 16}",24
mp-1219580,1.550465512497242,6,0.35714285714285715,0.3809523809523807,"{""SMA:9"": 2, ""TT_1:9"": 10, ""O:6"": 4, ""ET:7"": 8, ""PP:6"": 1, ""T:6"": 3}",28
mp-1018825,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""UNKNOWN:14"": 2, ""H:11"": 4}",6
mp-5137,0.5623351446188083,2,0.75,0.25,"{""O:6"": 6, ""T:6"": 2}",8
mp-1179515,1.3862943611198906,5,0.5,0.30000000000000004,"{""HP:12"": 2, ""T:6"": 2, ""BO_2:8"": 2, ""BS_2:10"": 2, ""S:1"": 8}",16
mp-1253719,2.1383972463477243,9,0.15384615384615385,0.170940170940171,"{""SS:9"": 1, ""C:8"": 1, ""T:4"": 2, ""S:5"": 1, ""TS:3"": 2, ""O:6"": 1, ""TY:3"": 2, ""A:2"": 1, ""L:2"": 2}",13
mp-560276,1.7986522062521288,7,0.2727272727272727,0.2597402597402598,"{""O:6"": 12, ""PB:7"": 4, ""TL:3"": 12, ""A:2"": 4, ""T:5"": 4, ""PP:5"": 4, ""S:1"": 4}",44
mp-1220210,1.0114042647073518,3,0.5,0.2222222222222221,"{""DD:20"": 1, ""AC:12"": 2, ""I:12"": 3}",6
mp-1384267,1.3321790402101223,4,0.4,0.15000000000000013,"{""O:6"": 2, ""T:5"": 2, ""ST:7"": 4, ""TL:3"": 2}",10
mp-2233110,1.3095258353040693,4,0.4,0.21666666666666679,"{""T:4"": 6, ""S:5"": 2, ""O:6"": 3, ""T:5"": 4}",15
mp-1191088,1.8636799873410002,7,0.25,0.2142857142857144,"{""T:5"": 2, ""SS:4"": 4, ""T:4"": 4, ""SY:4"": 2, ""L:2"": 2, ""S:1"": 6, ""PP:6"": 4}",24
mp-28746,1.1537419427010902,4,0.5714285714285714,0.3214285714285714,"{""O:6"": 8, ""TBSA:10"": 2, ""DI:11"": 2, ""PCPA:11"": 2}",14
mp-1176503,1.0775563270668007,3,0.4166666666666667,0.11111111111111116,"{""O:6"": 8, ""TL:3"": 6, ""TY:3"": 10}",24
mp-1017566,0.9502705392332347,3,0.6,0.2666666666666666,"{""O:6"": 1, ""C:12"": 1, ""L:2"": 3}",5
mp-753971,-0.0,1,1.0,0.0,"{""O:6"": 20}",20
mp-21778,1.2805340475238802,4,0.42105263157894735,0.25,"{""T:4"": 20, ""O:6"": 8, ""TL:3"": 32, ""L:2"": 16}",76
mp-1246341,-0.0,1,1.0,0.0,"{""T:4"": 24}",24
mp-776904,0.5982695885852573,2,0.7142857142857143,0.2142857142857144,"{""T:4"": 20, ""O:6"": 8}",28
mp-582663,1.8082095630933963,7,0.3,0.2857142857142858,"{""PCPA:11"": 4, ""SA:8"": 2, ""O:6"": 6, ""TY:3"": 4, ""TL:3"": 4, ""S:5"": 12, ""A:2"": 8}",40
mp-37216,0.5623351446188083,2,0.75,0.25,"{""O:6"": 2, ""SS:4"": 6}",8
mp-1181711,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""O:6"": 4, ""TL:3"": 8}",12
