formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
Ba3LaTa3O12,3.181,-3.4661041608947363,0.052412022,7.8369622833982096,272.42610640099633
Ba3LiTa3Ti5O21,2.264999999999999,-3.450418100515152,0.002260264431814,5.930844449998505,860.7188270548106
Ba3MgNb2O9,2.647999999999999,-3.266047576,0.0,5.940852812742581,214.1322118289584
Ba3MgTa2O9,3.2733,-3.413043947644446,0.0,7.370083530440008,212.27990794747208
Ba3Mn2O8,1.6908999999999992,-2.427450099297096,0.0,5.273663793647016,409.24304517266705
Ba3MnNb2O9,1.7737999999999992,-3.127465983862069,0.0,6.022157852216238,878.7516723145294
Ba3MnSb2O9,1.5103,-2.561670194528736,0.0,6.156306305601205,460.93237630136986
Ba3Nb2O8,4.499700000000001,-3.259985623076924,0.0,5.215068783594956,231.09971741469363
Ba3NiSb2O9,0.0,-2.425335596166667,0.0,6.413079171537437,888.843766252617
Ba3TbRu2O9,0.0,-2.626808572111111,0.0,6.747220974932335,451.3805991546759
Ba3V2O8,3.7465,-3.018909883076909,0.0,5.086795334033375,209.52922358122728
Ba3Y2WO9,2.3881,-3.246651754999999,0.0,6.496121813850662,469.12789627183776
Ba3Y4O9,3.3201,-3.527433782187499,0.014391349374999002,5.51726791758945,274.36509794051545
Ba3ZrNb4O15,2.2437,-3.287299146956522,0.026026084202893002,5.407860887621391,684.6347288569517
Ba4Er3F17,6.4907,-4.338340205208333,0.00027132208332800005,6.214009734836265,734.3653596834589
Ba4La2Ti3Nb2O18,2.1891,-3.46496732310345,0.04211580235632,6.003319161592449,399.55980732381715
Ba4Mn3O10,0.0,-2.546114705811359,0.0,6.013518176859888,482.74702037097336
Ba4Na2W2O11,3.6266,-2.713646580934663,0.0,6.019429924874545,314.19738370817566
Ba4Nb2O9,3.5089,-3.223448198000007,0.0,5.372062855352548,543.4803868214685
Ba4NdMn3O12,0.0,-2.635162862064654,0.019793697145839003,5.80381928719641,300.51913027158866
Ba4Ru3O10,0.0,-2.2903073755882373,0.0,6.613248964881808,508.4689054743148
Ba4Sb2O9,2.8294,-2.6492869596666653,0.0,5.80919804870167,535.5749667104091
Ba4Ta2O9,3.9585,-3.359521691311111,0.0,6.364610820598448,1101.213035129457
Ba5Co5ClO13,0.0,-2.048410437083334,0.042994095815958006,5.663034195347729,718.250605630165
